"","trial","N.pop","skew","lb.tdist","ub.tdist","cover.tdist","width.tdist","lb.bca.exp","ub.bca.exp","cover.bca.exp","width.bca.exp","lb.bayes.sdprior5","ub.bayes.sdprior5","cover.bayes.sdprior5","width.bayes.sdprior5"
"163",63,10,-0.5,70.1400113695516,86.1880828693617,0,16.0480714998101,70.44465226026,86.8091540803368,0,16.3645018200768,71.5863562390757,84.0091032170563,0,12.4227469779807
"164",64,10,-0.5,62.8616265135582,73.9686623991531,1,11.1070358855949,58.35965709051,72.3438968242671,1,13.9842397337572,63.7147459592288,73.2259756156478,1,9.51122965641903
"165",65,10,-0.5,47.0993338078141,71.6548940057679,1,24.5555601979538,44.0548364279992,71.1710358856234,1,27.1161994576242,51.2196395696713,69.5100952777781,1,18.2904557081068
"166",66,10,-0.5,60.6685213826095,75.1350274719198,1,14.4665060893103,61.9838230111891,76.6752683571043,1,14.6914453459152,62.0129864414923,74.0550891665103,1,12.042102725018
"167",67,10,-0.5,56.4631999037011,75.7578336345784,1,19.2946337308773,57.3345946763428,75.7386592122264,1,18.4040645358836,58.1619842897979,73.677157084669,1,15.5151727948711
"168",68,10,-0.5,57.7475366190226,73.4101996509419,1,15.6626630319193,55.9300231629705,72.2942814929042,1,16.3642583299337,59.2687335459089,71.8362674960019,1,12.5675339500931
"169",69,10,-0.5,57.251089393119,78.7158084524111,1,21.4647190592921,55.4763653439338,77.651268117017,1,22.1749027730832,59.6913177139598,76.4171765093556,1,16.7258587953958
"170",70,10,-0.5,61.1578029097428,82.4089634521703,1,21.2511605424276,54.391465710613,79.2884590809414,1,24.8969933703284,63.5147328257246,79.8757869809093,1,16.3610541551846
"171",71,10,-0.5,63.1492655238923,71.2902575181654,1,8.14099199427319,63.3157843818804,71.2344458171652,1,7.91866143528482,63.7268222011304,70.7657598928832,1,7.0389376917528
"172",72,10,-0.5,57.7189805416878,74.4748311083844,1,16.7558505666965,58.1432684767648,74.5715730745788,1,16.4283045978139,59.2543811113854,73.4608717481966,1,14.2064906368112
"173",73,10,-0.5,61.2051794890149,74.956123149872,1,13.7509436608572,61.7279508190369,74.9319467131971,1,13.2039958941602,62.3370280664867,73.8254216640583,1,11.4883935975716
"174",74,10,-0.5,65.7195702367898,74.91570280257,1,9.19613256578023,64.6219224161942,74.3709337678446,1,9.7490113516504,66.325602746534,74.301123527617,1,7.97552078108299
